,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
301,Terschelling,Restaurant,Café,Bar,Supermarket,Seafood Restaurant,2,Friesland,4888,88.1,54.3,13400,https://nl.wikipedia.org/wiki/Terschelling,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Terschelling.svg,53.401111111111,5.3313888888889
302,Texel,Restaurant,Café,Bar,Beach,Supermarket,5,Noord-Holland,13645,161.96,84.0,12400,https://nl.wikipedia.org/wiki/Texel,https://nl.wikipedia.org/wiki/Bestand:Texel_flag.svg,53.085930555556,4.8139361111111
303,Teylingen (gemeente),Supermarket,Restaurant,Harbor / Marina,Café,French Restaurant,4,Zuid-Holland,36691,28.65,1244.4,14800,https://nl.wikipedia.org/wiki/Teylingen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Teylingen_vlag.svg,52.215,4.5102777777778
304,Tholen (gemeente),Beach,Dive Spot,Harbor / Marina,Bar,Canal Lock,3,Zeeland,25688,147.81,171.9,11900,https://nl.wikipedia.org/wiki/Tholen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Tholen.svg,51.584722222222,4.1211111111111
305,Tiel,Restaurant,Supermarket,Diner,Bakery,Ice Cream Shop,2,Gelderland,41840,32.31,1285.6,12300,https://nl.wikipedia.org/wiki/Tiel,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Tiel.svg,51.883333333333,5.4333333333333
306,Tietjerksteradeel,Restaurant,Shoe Store,Playground,Hotel,Garden Center,3,Friesland,31740,149.67,213.5,12500,https://nl.wikipedia.org/wiki/Tietjerksteradeel,https://nl.wikipedia.org/wiki/Bestand:Tytsjerksteradiel_flag.svg,53.192047222222,5.9896083333333
307,Tilburg (gemeente),Coffee Shop,Gym / Fitness Center,Restaurant,Theater,Shopping Mall,4,Noord-Brabant,215946,116.69,1814.4,12500,https://nl.wikipedia.org/wiki/Tilburg_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Tilburg.svg,51.57,5.07
308,Tubbergen (gemeente),Café,Restaurant,Supermarket,Gym,Diner,4,Overijssel,21191,146.98,143.5,12000,https://nl.wikipedia.org/wiki/Tubbergen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Tubbergen_vlag.svg,52.4,6.7666666666667
309,Twenterand,Supermarket,Pizza Place,Dutch Restaurant,Chinese Restaurant,Gym,3,Overijssel,33807,106.31,318.9,11400,https://nl.wikipedia.org/wiki/Twenterand,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Twenterand.svg,52.4,6.6166666666667
310,Tynaarlo (gemeente),Restaurant,Shopping Mall,Supermarket,Plaza,Snack Place,4,Drenthe,33532,143.73,226.5,14000,https://nl.wikipedia.org/wiki/Tynaarlo_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Tynaarlo.svg,53.066666666667,6.5666666666667
311,Uden (gemeente),Supermarket,Café,Restaurant,Bar,Clothing Store,4,Noord-Brabant,41748,67.13,612.9,13100,https://nl.wikipedia.org/wiki/Uden_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Uden.svg,51.662761111111,5.6181333333333
312,Uitgeest,Supermarket,Café,Diner,Gym,Bistro,4,Noord-Holland,13508,19.18,695.8,13900,https://nl.wikipedia.org/wiki/Uitgeest,https://nl.wikipedia.org/wiki/Bestand:Uitgeest_vlag.svg,52.529166666667,4.7102777777778
313,Uithoorn,Supermarket,Gym / Fitness Center,Restaurant,Café,Furniture / Home Store,4,Noord-Holland,29431,18.3,1572.2,14700,https://nl.wikipedia.org/wiki/Uithoorn,https://nl.wikipedia.org/wiki/Bestand:Uithoorn_vlag.svg,52.242222222222,4.825
314,Urk,Restaurant,Café,Chinese Restaurant,Golf Course,Lighthouse,3,Flevoland,20652,11.54,1715.1,9400,https://nl.wikipedia.org/wiki/Urk,https://nl.wikipedia.org/wiki/Bestand:Urk_vlag.svg,52.661666666667,5.6
315,Utrecht (stad),Restaurant,Bar,Coffee Shop,French Restaurant,Seafood Restaurant,0,Utrecht,349234,95.67,3502.6,13600,https://nl.wikipedia.org/wiki/Utrecht_(stad),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Utrecht.svg,52.088888888889,5.1155555555556
316,Utrechtse Heuvelrug (gemeente),Restaurant,Café,Fast Food Restaurant,Campground,Ice Cream Shop,2,Utrecht,49449,132.38,363.9,15900,https://nl.wikipedia.org/wiki/Utrechtse_Heuvelrug_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Utrechtse_Heuvelrug_vlag.svg,52.042222222222,5.4505555555556
317,Vaals (gemeente),Café,Italian Restaurant,Restaurant,Bar,German Restaurant,0,Limburg,9850,23.89,403.5,11700,https://nl.wikipedia.org/wiki/Vaals_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Vaals_vlag.svg,50.772777777778,6.0180555555556
318,Valkenburg aan de Geul,Restaurant,Supermarket,Bar,Café,Hotel,1,Limburg,16427,36.73,450.7,13300,https://nl.wikipedia.org/wiki/Valkenburg_aan_de_Geul,https://nl.wikipedia.org/wiki/Bestand:Valkenburg_ad_Geul_vlag.svg,50.864444444444,5.8305555555556
319,Valkenswaard (gemeente),Restaurant,Bar,Supermarket,Gym / Fitness Center,Plaza,1,Noord-Brabant,30745,55.01,549.6,13500,https://nl.wikipedia.org/wiki/Valkenswaard_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Valkenswaard.svg,51.35,5.4591666666667
320,Veendam (gemeente),Shopping Mall,Restaurant,Golf Course,Hockey Field,Supermarket,3,Groningen,27496,76.24,361.7,12000,https://nl.wikipedia.org/wiki/Veendam_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Veendam_vlag.svg,53.1,6.8666666666667
321,Veenendaal,Restaurant,Fast Food Restaurant,Gym,Ice Cream Shop,Soccer Field,3,Utrecht,65200,19.61,3235.9,12500,https://nl.wikipedia.org/wiki/Veenendaal,https://nl.wikipedia.org/wiki/Bestand:Veenendaal_Netherlands.svg,52.025,5.555
322,Veere (gemeente),Restaurant,Café,Beach,Gastropub,Bar,5,Zeeland,21823,132.94,164.7,13000,https://nl.wikipedia.org/wiki/Veere_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Veere_vlag.svg,51.546944444444,3.5402777777778
323,Veldhoven (hoofdbetekenis),Restaurant,Shopping Mall,Supermarket,Golf Course,Soccer Field,4,Noord-Brabant,44984,31.72,1392.7,13600,https://nl.wikipedia.org/wiki/Veldhoven_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Veldhoven_vlag.svg,51.419722222222,5.3991666666667
324,Velsen,Restaurant,Seafood Restaurant,Café,French Restaurant,Museum,4,Noord-Holland,67988,44.42,1510.9,13800,https://nl.wikipedia.org/wiki/Velsen,https://nl.wikipedia.org/wiki/Bestand:Velsen_vlag.svg,52.460277777778,4.6161111111111
325,Venlo (gemeente),Bar,Restaurant,Supermarket,Plaza,Shopping Mall,1,Limburg,101155,124.34,808.0,12300,https://nl.wikipedia.org/wiki/Venlo_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Venlo_vlag.svg,51.368611111111,6.1711111111111
326,Venray (gemeente),Café,Bar,Supermarket,Restaurant,Shopping Mall,1,Limburg,43263,145.7,296.7,12700,https://nl.wikipedia.org/wiki/Venray_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Venray_vlag.svg,51.525833333333,5.9747222222222
327,Vianen (Utrecht),Restaurant,Shopping Mall,Hotel,Coffee Shop,Supermarket,4,Utrecht,20142,39.47,497.9,13900,https://nl.wikipedia.org/wiki/Vianen_(Utrecht),https://nl.wikipedia.org/wiki/Bestand:Vianen_vlag.svg,52.0,5.1005555555556
328,Vlaardingen,Supermarket,Shopping Mall,Fast Food Restaurant,Café,Harbor / Marina,4,Zuid-Holland,72306,23.76,3018.5,13200,https://nl.wikipedia.org/wiki/Vlaardingen,https://nl.wikipedia.org/wiki/Bestand:Vlaardingen_flag.svg,51.9,4.3333333333333
329,Vlieland (hoofdbetekenis),Restaurant,Campground,Seafood Restaurant,Lighthouse,Fish & Chips Shop,3,Friesland,1149,40.01,27.2,13300,https://nl.wikipedia.org/wiki/Vlieland_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Vlieland.svg,53.258333333333,4.9558333333333
330,Vlissingen,Restaurant,Beach,Café,Supermarket,Bar,5,Zeeland,44465,34.14,1301.7,12600,https://nl.wikipedia.org/wiki/Vlissingen,https://nl.wikipedia.org/wiki/Bestand:Vlissingen_vlag.svg,51.45,3.5833333333333
331,Voerendaal (gemeente),Restaurant,Supermarket,Sandwich Place,Electronics Store,Furniture / Home Store,2,Limburg,12468,31.54,393.5,13900,https://nl.wikipedia.org/wiki/Voerendaal_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Voerendaal_vlag.svg,50.883333333333,5.9166666666667
332,Voorschoten,Supermarket,Restaurant,Park,Garden Center,Lake,4,Zuid-Holland,25494,11.21,2243.5,16100,https://nl.wikipedia.org/wiki/Voorschoten,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Voorschoten.svg,52.125555555556,4.4436111111111
333,Voorst (gemeente),Restaurant,Diner,Bar,Ice Cream Shop,Bagel Shop,2,Gelderland,24274,123.11,194.0,13200,https://nl.wikipedia.org/wiki/Voorst_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Voorst.svg,52.233333333333,6.0833333333333
334,Vught (gemeente),Restaurant,Park,Café,Bar,History Museum,2,Noord-Brabant,26413,33.5,771.6,15100,https://nl.wikipedia.org/wiki/Vught_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Vught_gemeentevlag.svg,51.655833333333,5.2936111111111
335,Waalre (gemeente),Restaurant,Bar,Gym / Fitness Center,Golf Course,Supermarket,2,Noord-Brabant,17125,22.44,752.6,16100,https://nl.wikipedia.org/wiki/Waalre_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Waalre_vlag.svg,51.386666666667,5.4455555555556
336,Waalwijk (gemeente),Restaurant,Furniture / Home Store,Diner,Supermarket,Café,2,Noord-Brabant,47892,64.69,722.3,13200,https://nl.wikipedia.org/wiki/Waalwijk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Waalwijk_vlag.svg,51.6825,5.0694444444444
337,Waddinxveen,Supermarket,Shopping Mall,Garden Center,Playground,Fast Food Restaurant,4,Zuid-Holland,27828,27.87,924.7,14000,https://nl.wikipedia.org/wiki/Waddinxveen,https://nl.wikipedia.org/wiki/Bestand:Vlag_waddinxveen.svg,52.046944444444,4.6458333333333
338,Wageningen (Nederland),Exhibit,Restaurant,Bar,Soccer Field,Supermarket,2,Gelderland,38282,30.53,1231.6,12100,https://nl.wikipedia.org/wiki/Wageningen_(Nederland),https://nl.wikipedia.org/wiki/Bestand:Wageningen_vlag.svg,51.966666666667,5.6666666666667
339,Wassenaar (gemeente),Restaurant,Supermarket,Harbor / Marina,Italian Restaurant,Garden Center,2,Zuid-Holland,26178,50.85,507.1,20400,https://nl.wikipedia.org/wiki/Wassenaar_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Wassenaar_flag.svg,52.145277777778,4.4005555555556
340,Waterland (gemeente),Café,Restaurant,Bar,Seafood Restaurant,French Restaurant,1,Noord-Holland,17306,52.1,329.4,15400,https://nl.wikipedia.org/wiki/Waterland_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Waterland_vlag.svg,52.451111111111,5.02
341,Weert (gemeente),Restaurant,Bar,Supermarket,Ice Cream Shop,Café,1,Limburg,49735,104.66,467.7,13000,https://nl.wikipedia.org/wiki/Weert_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Weert.svg,51.25375,5.70465
342,Weesp,Park,Lake,Diner,Supermarket,French Restaurant,4,Noord-Holland,19307,20.58,892.2,14600,https://nl.wikipedia.org/wiki/Weesp,https://nl.wikipedia.org/wiki/Bestand:Weesp_Netherlands.svg,52.306944444444,5.0416666666667
343,Werkendam (gemeente),Restaurant,Diner,Soccer Field,Movie Theater,Supermarket,2,Noord-Brabant,27054,105.0,252.0,13200,https://nl.wikipedia.org/wiki/Werkendam_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Werkendam_vlag.svg,51.809722222222,4.8927777777778
344,West Maas en Waal,Restaurant,Supermarket,Garden Center,Diner,Harbor / Marina,2,Gelderland,18939,77.45,239.4,13100,https://nl.wikipedia.org/wiki/West_Maas_en_Waal,https://nl.wikipedia.org/wiki/Bestand:West_Maas_en_Waal-vlag.svg,51.850277777778,5.4863888888889
345,Westerveld (gemeente),Restaurant,Café,Campground,Supermarket,Bar,2,Drenthe,19149,278.99,68.2,13600,https://nl.wikipedia.org/wiki/Westerveld_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Westerveld_vlag.svg,52.766666666667,6.2333333333333
346,Westervoort,Supermarket,Shopping Mall,Furniture / Home Store,Restaurant,Tea Room,4,Gelderland,14973,7.11,2111.3,12300,https://nl.wikipedia.org/wiki/Westervoort,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Westervoort.svg,51.95,5.9666666666667
347,Westland (gemeente),Beach,Beach Bar,Restaurant,Café,Lounge,5,Zuid-Holland,107674,79.9,1306.6,13600,https://nl.wikipedia.org/wiki/Westland_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Westland_municipality_flag.svg,52.0,4.17
348,Weststellingwerf,Restaurant,Fast Food Restaurant,Campground,Food Court,History Museum,3,Friesland,25781,222.15,114.8,12000,https://nl.wikipedia.org/wiki/Weststellingwerf,https://nl.wikipedia.org/wiki/Bestand:Weststellingwerf_flag.svg,52.864155555556,6.0397333333333
349,Westvoorne,Restaurant,Beach,Supermarket,Pizza Place,Soccer Field,4,Zuid-Holland,14588,53.46,263.0,16300,https://nl.wikipedia.org/wiki/Westvoorne,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Westvoorne.svg,51.89,4.0663888888889
350,Wierden,Supermarket,Restaurant,Shopping Mall,Gym / Fitness Center,Soccer Field,3,Overijssel,24303,94.68,252.0,12600,https://nl.wikipedia.org/wiki/Wierden,https://nl.wikipedia.org/wiki/Bestand:Wierden_vlag.svg,52.35,6.5833333333333
351,Wijchen (gemeente),Restaurant,Diner,Café,Gym,Gym / Fitness Center,2,Gelderland,40835,66.83,611.6,12900,https://nl.wikipedia.org/wiki/Wijchen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Wijchen.svg,51.806666666667,5.7211111111111
352,Wijdemeren,Restaurant,French Restaurant,Park,Café,Supermarket,2,Noord-Holland,23860,48.02,482.5,15500,https://nl.wikipedia.org/wiki/Wijdemeren,https://nl.wikipedia.org/wiki/Bestand:Wijdemeren_vlag.svg,52.224433333333,5.10315
353,Wijk bij Duurstede,Restaurant,Campground,Hotel,Diner,Golf Course,3,Utrecht,23677,47.62,488.7,13700,https://nl.wikipedia.org/wiki/Wijk_bij_Duurstede,https://nl.wikipedia.org/wiki/Bestand:Vlag_van_Wijk_bij_Duurstede.svg,51.976111111111,5.3369444444444
354,Winsum (gemeente),Café,Lounge,Food,Snack Place,Chinese Restaurant,3,Groningen,13552,101.09,135.8,12300,https://nl.wikipedia.org/wiki/Winsum_(gemeente),https://nl.wikipedia.org/wiki/Bestand:VlagWinsum.svg,53.333333333333,6.5166666666667
355,Winterswijk (gemeente),Restaurant,Campground,Bar,Diner,Supermarket,3,Gelderland,28999,138.25,209.9,11900,https://nl.wikipedia.org/wiki/Winterswijk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Winterswijk.svg,51.978113888889,6.7236333333333
356,Woensdrecht (gemeente),Restaurant,French Restaurant,Ice Cream Shop,Hotel,Golf Course,3,Noord-Brabant,21856,91.85,235.7,13000,https://nl.wikipedia.org/wiki/Woensdrecht_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Woensdrecht.svg,51.43,4.305
357,Woerden,Restaurant,Supermarket,Soccer Field,Sandwich Place,French Restaurant,4,Utrecht,51836,89.53,566.6,14200,https://nl.wikipedia.org/wiki/Woerden,https://nl.wikipedia.org/wiki/Bestand:Woerden_flag.svg,52.085555555556,4.8852777777778
358,Wormerland,Restaurant,Café,French Restaurant,Supermarket,Bar,1,Noord-Holland,16160,38.8,405.5,13600,https://nl.wikipedia.org/wiki/Wormerland,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Wormerland.svg,52.508611111111,4.8713888888889
359,Woudenberg,Restaurant,Gastropub,Park,Campground,Ice Cream Shop,2,Utrecht,13045,36.47,342.7,13100,https://nl.wikipedia.org/wiki/Woudenberg,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Woudenberg.svg,52.080555555556,5.4163888888889
360,Woudrichem (gemeente),Restaurant,Diner,Café,Supermarket,Bar,2,Noord-Brabant,14729,49.57,290.4,13000,https://nl.wikipedia.org/wiki/Woudrichem_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Woudrichem_vlag.svg,51.813333333333,5.0005555555556
361,Zaanstad,Gym,Bakery,History Museum,Supermarket,French Restaurant,4,Noord-Holland,155141,74.25,2040.3,13100,https://nl.wikipedia.org/wiki/Zaanstad,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zaanstad.svg,52.469722222222,4.7766666666667
362,Zaltbommel (gemeente),Restaurant,Hotel,Diner,Bar,Fast Food Restaurant,2,Gelderland,14009,79.94,171.4,12800,https://nl.wikipedia.org/wiki/Zaltbommel_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Zaltbommel_vlag.svg,51.816666666667,5.25
363,Zandvoort,Restaurant,Beach Bar,Seafood Restaurant,Beach,Asian Restaurant,5,Noord-Holland,16895,32.04,520.7,15200,https://nl.wikipedia.org/wiki/Zandvoort,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zandvoort.svg,52.375,4.5358333333333
364,Zederik,Bar,Hotel,Restaurant,Soccer Field,Beach,3,Zuid-Holland,14009,73.77,185.7,12800,https://nl.wikipedia.org/wiki/Zederik,https://nl.wikipedia.org/wiki/Bestand:Zederik_vlag.svg,51.933333333333,5.0155555555556
365,Zeewolde,Beach,Diner,Café,Hotel,Plaza,3,Flevoland,22402,248.76,88.4,12800,https://nl.wikipedia.org/wiki/Zeewolde,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zeewolde.svg,52.328888888889,5.535
366,Zeist,Restaurant,Soccer Field,Hockey Field,Shopping Mall,Chinese Restaurant,4,Utrecht,63599,48.53,1272.7,15700,https://nl.wikipedia.org/wiki/Zeist,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zeist.svg,52.0875,5.2416666666667
367,Zevenaar (gemeente),Restaurant,Diner,Café,Furniture / Home Store,Plaza,3,Gelderland,43466,53.79,598.8,13100,https://nl.wikipedia.org/wiki/Zevenaar_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zevenaar.svg,51.916666666667,6.0833333333333
368,Zoetermeer,Shopping Mall,Supermarket,Restaurant,Asian Restaurant,Fast Food Restaurant,4,Zuid-Holland,124696,34.91,3554.5,13900,https://nl.wikipedia.org/wiki/Zoetermeer,https://nl.wikipedia.org/wiki/Bestand:Zoetermeer_vlag.svg,52.059444444444,4.4958333333333
369,Zoeterwoude,Supermarket,Restaurant,Park,Hockey Field,Lake,4,Zuid-Holland,8381,21.24,382.0,13900,https://nl.wikipedia.org/wiki/Zoeterwoude,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zoeterwoude.svg,52.113611111111,4.5058333333333
370,Zuidhorn (gemeente),Café,Outdoors & Recreation,Discount Store,Snack Place,French Restaurant,3,Groningen,18972,125.62,149.0,12500,https://nl.wikipedia.org/wiki/Zuidhorn_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Zuidhorn_vlag.svg,53.25,6.4
371,Zuidplas (gemeente),Restaurant,Shopping Mall,Playground,Fast Food Restaurant,Gym / Fitness Center,4,Zuid-Holland,42262,59.36,686.4,,https://nl.wikipedia.org/wiki/Zuidplas_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Zuidplas_flag.svg,52.008888888889,4.6166666666667
372,Zundert (gemeente),Bar,Restaurant,Friterie,Fast Food Restaurant,Soccer Field,1,Noord-Brabant,21765,120.38,177.6,13000,https://nl.wikipedia.org/wiki/Zundert_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Zundert_Netherlands.svg,51.470277777778,4.66
373,Zutphen (gemeente),Restaurant,Supermarket,Café,Italian Restaurant,Ice Cream Shop,2,Gelderland,47522,41.0,1144.5,12600,https://nl.wikipedia.org/wiki/Zutphen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zutphen.svg,52.133333333333,6.2
374,Zwartewaterland,Gym,Café,Restaurant,Shopping Mall,Gym / Fitness Center,3,Overijssel,22503,82.76,268.2,11700,https://nl.wikipedia.org/wiki/Zwartewaterland,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zwartewaterland.svg,52.583333333333,6.0833333333333
375,Zwijndrecht (Nederland),Restaurant,Café,Fast Food Restaurant,Ice Cream Shop,Park,0,Zuid-Holland,44605,20.36,2185.9,13700,https://nl.wikipedia.org/wiki/Zwijndrecht_(Nederland),https://nl.wikipedia.org/wiki/Bestand:Zwijndrecht_(Nederland)_vlag.svg,51.816388888889,4.645
376,Zwolle (hoofdbetekenis),Bar,Café,Park,Modern European Restaurant,Theater,1,Overijssel,126641,112.11,1106.3,13100,https://nl.wikipedia.org/wiki/Zwolle_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Zwolle.svg,52.516666666667,6.0833333333333
